pair_id,PatientID,dataset_split,panel,input_path,output_path,input_min,input_max,input_mean,input_std,percentile_1,percentile_99,output_min,output_max,output_mean,output_std,original_width,original_height,new_width,new_height,pad_left,pad_top,scale
W2PAIR_0001,LiverUS-102,train,A,/kaggle/input/datasets/omneyasaeid/week2-inputs-for-week3-zip/project_rooting_week2/derived/week2_paired_samples/W2PAIR_0069/panel_a_candidate.png,/kaggle/working/project_rooting_week3/derived/preprocessed_pairs/train/LiverUS-102/W2PAIR_0001/panel_a_preprocessed.png,0,255,92.34804750593824,63.69534672086844,0.0,255.0,0,255,82.25079345703125,65.46619713180019,375,421,228,256,14,0,0.6080760095011877
W2PAIR_0001,LiverUS-102,train,B,/kaggle/input/datasets/omneyasaeid/week2-inputs-for-week3-zip/project_rooting_week2/derived/week2_paired_samples/W2PAIR_0069/panel_b_candidate.png,/kaggle/working/project_rooting_week3/derived/preprocessed_pairs/train/LiverUS-102/W2PAIR_0001/panel_b_preprocessed.png,0,255,37.35013727365271,53.84442662423318,0.0,197.0,0,255,43.623809814453125,63.87885565805464,385,421,234,256,11,0,0.6080760095011877
W2PAIR_0002,LiverUS-102,train,A,/kaggle/input/datasets/omneyasaeid/week2-inputs-for-week3-zip/project_rooting_week2/derived/week2_paired_samples/W2PAIR_0069/panel_a_candidate.png,/kaggle/working/project_rooting_week3/derived/preprocessed_pairs/train/LiverUS-102/W2PAIR_0002/panel_a_preprocessed.png,0,255,92.34804750593824,63.69534672086844,0.0,255.0,0,255,82.25079345703125,65.46619713180019,375,421,228,256,14,0,0.6080760095011877
W2PAIR_0002,LiverUS-102,train,B,/kaggle/input/datasets/omneyasaeid/week2-inputs-for-week3-zip/project_rooting_week2/derived/week2_paired_samples/W2PAIR_0069/panel_b_candidate.png,/kaggle/working/project_rooting_week3/derived/preprocessed_pairs/train/LiverUS-102/W2PAIR_0002/panel_b_preprocessed.png,0,255,37.35013727365271,53.84442662423318,0.0,197.0,0,255,43.623809814453125,63.87885565805464,385,421,234,256,11,0,0.6080760095011877
W2PAIR_0003,LiverUS-102,train,A,/kaggle/input/datasets/omneyasaeid/week2-inputs-for-week3-zip/project_rooting_week2/derived/week2_paired_samples/W2PAIR_0069/panel_a_candidate.png,/kaggle/working/project_rooting_week3/derived/preprocessed_pairs/train/LiverUS-102/W2PAIR_0003/panel_a_preprocessed.png,0,255,92.34804750593824,63.69534672086844,0.0,255.0,0,255,82.25079345703125,65.46619713180019,375,421,228,256,14,0,0.6080760095011877
W2PAIR_0003,LiverUS-102,train,B,/kaggle/input/datasets/omneyasaeid/week2-inputs-for-week3-zip/project_rooting_week2/derived/week2_paired_samples/W2PAIR_0069/panel_b_candidate.png,/kaggle/working/project_rooting_week3/derived/preprocessed_pairs/train/LiverUS-102/W2PAIR_0003/panel_b_preprocessed.png,0,255,37.35013727365271,53.84442662423318,0.0,197.0,0,255,43.623809814453125,63.87885565805464,385,421,234,256,11,0,0.6080760095011877
W2PAIR_0004,LiverUS-102,train,A,/kaggle/input/datasets/omneyasaeid/week2-inputs-for-week3-zip/project_rooting_week2/derived/week2_paired_samples/W2PAIR_0069/panel_a_candidate.png,/kaggle/working/project_rooting_week3/derived/preprocessed_pairs/train/LiverUS-102/W2PAIR_0004/panel_a_preprocessed.png,0,255,92.34804750593824,63.69534672086844,0.0,255.0,0,255,82.25079345703125,65.46619713180019,375,421,228,256,14,0,0.6080760095011877
W2PAIR_0004,LiverUS-102,train,B,/kaggle/input/datasets/omneyasaeid/week2-inputs-for-week3-zip/project_rooting_week2/derived/week2_paired_samples/W2PAIR_0069/panel_b_candidate.png,/kaggle/working/project_rooting_week3/derived/preprocessed_pairs/train/LiverUS-102/W2PAIR_0004/panel_b_preprocessed.png,0,255,37.35013727365271,53.84442662423318,0.0,197.0,0,255,43.623809814453125,63.87885565805464,385,421,234,256,11,0,0.6080760095011877
W2PAIR_0005,LiverUS-102,train,A,/kaggle/input/datasets/omneyasaeid/week2-inputs-for-week3-zip/project_rooting_week2/derived/week2_paired_samples/W2PAIR_0069/panel_a_candidate.png,/kaggle/working/project_rooting_week3/derived/preprocessed_pairs/train/LiverUS-102/W2PAIR_0005/panel_a_preprocessed.png,0,255,92.34804750593824,63.69534672086844,0.0,255.0,0,255,82.25079345703125,65.46619713180019,375,421,228,256,14,0,0.6080760095011877
W2PAIR_0005,LiverUS-102,train,B,/kaggle/input/datasets/omneyasaeid/week2-inputs-for-week3-zip/project_rooting_week2/derived/week2_paired_samples/W2PAIR_0069/panel_b_candidate.png,/kaggle/working/project_rooting_week3/derived/preprocessed_pairs/train/LiverUS-102/W2PAIR_0005/panel_b_preprocessed.png,0,255,37.35013727365271,53.84442662423318,0.0,197.0,0,255,43.623809814453125,63.87885565805464,385,421,234,256,11,0,0.6080760095011877
W2PAIR_0006,LiverUS-102,train,A,/kaggle/input/datasets/omneyasaeid/week2-inputs-for-week3-zip/project_rooting_week2/derived/week2_paired_samples/W2PAIR_0069/panel_a_candidate.png,/kaggle/working/project_rooting_week3/derived/preprocessed_pairs/train/LiverUS-102/W2PAIR_0006/panel_a_preprocessed.png,0,255,92.34804750593824,63.69534672086844,0.0,255.0,0,255,82.25079345703125,65.46619713180019,375,421,228,256,14,0,0.6080760095011877
W2PAIR_0006,LiverUS-102,train,B,/kaggle/input/datasets/omneyasaeid/week2-inputs-for-week3-zip/project_rooting_week2/derived/week2_paired_samples/W2PAIR_0069/panel_b_candidate.png,/kaggle/working/project_rooting_week3/derived/preprocessed_pairs/train/LiverUS-102/W2PAIR_0006/panel_b_preprocessed.png,0,255,37.35013727365271,53.84442662423318,0.0,197.0,0,255,43.623809814453125,63.87885565805464,385,421,234,256,11,0,0.6080760095011877
W2PAIR_0007,LiverUS-102,train,A,/kaggle/input/datasets/omneyasaeid/week2-inputs-for-week3-zip/project_rooting_week2/derived/week2_paired_samples/W2PAIR_0069/panel_a_candidate.png,/kaggle/working/project_rooting_week3/derived/preprocessed_pairs/train/LiverUS-102/W2PAIR_0007/panel_a_preprocessed.png,0,255,92.34804750593824,63.69534672086844,0.0,255.0,0,255,82.25079345703125,65.46619713180019,375,421,228,256,14,0,0.6080760095011877
W2PAIR_0007,LiverUS-102,train,B,/kaggle/input/datasets/omneyasaeid/week2-inputs-for-week3-zip/project_rooting_week2/derived/week2_paired_samples/W2PAIR_0069/panel_b_candidate.png,/kaggle/working/project_rooting_week3/derived/preprocessed_pairs/train/LiverUS-102/W2PAIR_0007/panel_b_preprocessed.png,0,255,37.35013727365271,53.84442662423318,0.0,197.0,0,255,43.623809814453125,63.87885565805464,385,421,234,256,11,0,0.6080760095011877
W2PAIR_0008,LiverUS-106,test,A,/kaggle/input/datasets/omneyasaeid/week2-inputs-for-week3-zip/project_rooting_week2/derived/week2_paired_samples/W2PAIR_0069/panel_a_candidate.png,/kaggle/working/project_rooting_week3/derived/preprocessed_pairs/test/LiverUS-106/W2PAIR_0008/panel_a_preprocessed.png,0,255,92.34804750593824,63.69534672086844,0.0,255.0,0,255,82.25079345703125,65.46619713180019,375,421,228,256,14,0,0.6080760095011877
