item_id,pair_id,PatientID,dataset_split,augmentation_index,panel_a_path,panel_b_path,seed,angle,scale,tx,ty,gamma,gain,offset,speckle_sigma,panel_a_output_min,panel_a_output_max,panel_a_output_mean,panel_a_output_std,panel_b_output_min,panel_b_output_max,panel_b_output_mean,panel_b_output_std
W2PAIR_0001__aug_01,W2PAIR_0001,LiverUS-102,train,1,/kaggle/working/project_rooting_week4/derived/augmented_pairs/train/LiverUS-102/W2PAIR_0001/aug_01/panel_a_augmented.png,/kaggle/working/project_rooting_week4/derived/augmented_pairs/train/LiverUS-102/W2PAIR_0001/aug_01/panel_b_augmented.png,3080353866,-3.16985954023615,0.9598784521526814,0,5,0.9576765487709872,1.0674099312840606,6.502934261881627,0.03013352312204305,5,255,89.05828857421875,70.75548123402817,5,255,50.184478759765625,64.83605513122906
W2PAIR_0001__aug_02,W2PAIR_0001,LiverUS-102,train,2,/kaggle/working/project_rooting_week4/derived/augmented_pairs/train/LiverUS-102/W2PAIR_0001/aug_02/panel_a_augmented.png,/kaggle/working/project_rooting_week4/derived/augmented_pairs/train/LiverUS-102/W2PAIR_0001/aug_02/panel_b_augmented.png,156789339,-5.015575624211918,0.9539902870122084,0,-8,0.9209269591436937,1.0840783999145176,7.714339730612533,0.043899987447471235,6,255,92.29353332519531,73.19930768747925,6,255,52.7548828125,66.63524057296361
W2PAIR_0001__aug_03,W2PAIR_0001,LiverUS-102,train,3,/kaggle/working/project_rooting_week4/derived/augmented_pairs/train/LiverUS-102/W2PAIR_0001/aug_03/panel_a_augmented.png,/kaggle/working/project_rooting_week4/derived/augmented_pairs/train/LiverUS-102/W2PAIR_0001/aug_03/panel_b_augmented.png,3802118376,-2.981299601048759,0.9818996534695172,2,-2,1.130646428843713,0.9541833810196879,-8.164457483802538,0.0449289535116461,0,255,62.608642578125,55.35843846021227,0,254,31.702377319335938,51.522587812485
W2PAIR_0002__aug_01,W2PAIR_0002,LiverUS-102,train,1,/kaggle/working/project_rooting_week4/derived/augmented_pairs/train/LiverUS-102/W2PAIR_0002/aug_01/panel_a_augmented.png,/kaggle/working/project_rooting_week4/derived/augmented_pairs/train/LiverUS-102/W2PAIR_0002/aug_01/panel_b_augmented.png,3005809900,-2.417631302162377,1.042580544920464,-8,1,0.9383449303658936,0.9885288595798407,4.96911489647095,0.002276862634557175,4,255,96.28067016601562,62.940030738593514,4,255,52.95185852050781,63.50136211630024
W2PAIR_0002__aug_02,W2PAIR_0002,LiverUS-102,train,2,/kaggle/working/project_rooting_week4/derived/augmented_pairs/train/LiverUS-102/W2PAIR_0002/aug_02/panel_a_augmented.png,/kaggle/working/project_rooting_week4/derived/augmented_pairs/train/LiverUS-102/W2PAIR_0002/aug_02/panel_b_augmented.png,1194385833,-1.5847376979368004,1.005418265803785,-6,-2,1.1299920904403091,0.9180050241091103,2.9076878193134803,0.04516532946934245,2,255,71.48622131347656,55.971511346082075,2,255,38.43910217285156,53.133164721387686
W2PAIR_0002__aug_03,W2PAIR_0002,LiverUS-102,train,3,/kaggle/working/project_rooting_week4/derived/augmented_pairs/train/LiverUS-102/W2PAIR_0002/aug_03/panel_a_augmented.png,/kaggle/working/project_rooting_week4/derived/augmented_pairs/train/LiverUS-102/W2PAIR_0002/aug_03/panel_b_augmented.png,1911583019,2.909842080087559,0.9830443585762461,-4,-4,0.9926676657619503,0.9163825749005629,7.11622336919379,0.0068280428414814855,6,246,79.83705139160156,59.30269431566917,6,241,45.480133056640625,55.48546652449883
W2PAIR_0003__aug_01,W2PAIR_0003,LiverUS-102,train,1,/kaggle/working/project_rooting_week4/derived/augmented_pairs/train/LiverUS-102/W2PAIR_0003/aug_01/panel_a_augmented.png,/kaggle/working/project_rooting_week4/derived/augmented_pairs/train/LiverUS-102/W2PAIR_0003/aug_01/panel_b_augmented.png,2103245434,6.608560739570326,1.034209452005091,-2,-4,0.8800518172727331,1.0912834259184472,-2.4222226365651363,0.04501576129743587,0,255,101.92927551269531,70.21565000754082,0,255,54.11346435546875,70.42510604108901
W2PAIR_0003__aug_02,W2PAIR_0003,LiverUS-102,train,2,/kaggle/working/project_rooting_week4/derived/augmented_pairs/train/LiverUS-102/W2PAIR_0003/aug_02/panel_a_augmented.png,/kaggle/working/project_rooting_week4/derived/augmented_pairs/train/LiverUS-102/W2PAIR_0003/aug_02/panel_b_augmented.png,4003145929,-5.826823477533366,1.0155090668899052,-2,5,0.8753446835648412,1.0534240936994812,2.596019377036214,0.030430244119914164,2,255,99.32101440429688,70.27034570773824,2,255,54.37054443359375,68.4971457338056
W2PAIR_0003__aug_03,W2PAIR_0003,LiverUS-102,train,3,/kaggle/working/project_rooting_week4/derived/augmented_pairs/train/LiverUS-102/W2PAIR_0003/aug_03/panel_a_augmented.png,/kaggle/working/project_rooting_week4/derived/augmented_pairs/train/LiverUS-102/W2PAIR_0003/aug_03/panel_b_augmented.png,627880948,3.1634816529280556,1.0145451946808912,2,8,0.900381963398511,1.0151767948242532,3.8021590808939276,0.006559788286941148,3,255,95.33540344238281,67.18220301804628,3,255,52.547607421875,65.35562499804394
W2PAIR_0004__aug_01,W2PAIR_0004,LiverUS-102,train,1,/kaggle/working/project_rooting_week4/derived/augmented_pairs/train/LiverUS-102/W2PAIR_0004/aug_01/panel_a_augmented.png,/kaggle/working/project_rooting_week4/derived/augmented_pairs/train/LiverUS-102/W2PAIR_0004/aug_01/panel_b_augmented.png,4272472022,3.752226930517974,1.045138359809498,-1,5,0.8952319149551231,0.9544932739371026,-7.83648320491479,0.03719675537206195,0,255,85.93962097167969,58.66442119349398,0,255,44.672088623046875,59.682236196297
